time_UTC_OFS__0400_,CorrBodyTemp(C),SkinTemp(C),Sweat Rate (ml/hr),Total Fluid Loss (ml),Electrolyte Loss Rate (mg/hr),Total Electrolyte Loss (mg),Sodium Loss Rate (mg/hr),Total Sodium Loss (mg),heart_rate (BPM),cadence (rpm),distance (m),fractional_cadence (rpm),enhanced_speed (m/s),enhanced_altitude (m),Temperature (C),RH (%),DewPoint (C),WindSpeed (m/s),WindDir,WindGuest (m/s)
7/15/2025 6:30,36.80890476,33.32777778,,,,,,,54.19047619,,15049.17,,2.295,-107.8,24.8,89,22.9,5.4,172,10.8
7/15/2025 6:31,36.80590476,33.34111111,,,,,,,54.76190476,,15049.17,,2.295,-107.8,24.8,89,22.9,5.4,172,10.8
7/15/2025 6:32,36.8028806,33.36328358,,,,,,,55.23880597,,15049.17,,2.295,-107.8,24.8,89,22.9,5.4,172,10.8
7/15/2025 6:33,36.79883607,33.38819672,,,,,,,54.27868852,,15049.17,,2.295,-107.8,24.8,89,22.9,5.4,172,10.8
7/15/2025 6:34,36.79384127,33.40190476,,,,,,,55.38095238,,15049.17,,2.075746032,-101.7047619,24.8,89,22.9,5.4,172,10.8
7/15/2025 6:35,36.78877273,33.41924242,,,,,,,55.09090909,,15049.17,,1.568,20.2,24.8,89,22.9,5.4,172,10.8
7/15/2025 6:36,36.78381538,33.44923077,,,,,,,52.96923077,,15049.17,,1.568,20.2,24.8,89,22.9,5.4,172,10.8
7/15/2025 6:37,36.77787879,33.48363636,,,,,,,53.54545455,,15049.17,,1.568,20.2,24.84848485,89,22.94848485,6.321212121,170.5454545,12.01212121
7/15/2025 6:38,36.77378462,33.49492308,,,,,,,54.98461538,,15049.17,,1.568,20.2,24.9,89,23,7.3,169,13.3
7/15/2025 6:39,36.76681818,33.51075758,,,,,,,55.09090909,,15049.17,,1.568,20.2,24.9,89,23,7.3,169,13.3
7/15/2025 6:40,36.7607377,33.5204918,,,,,,,55.16393443,,15049.17,,1.568,20.2,24.9,89,23,7.3,169,13.3
7/15/2025 6:41,36.75277465,33.53239437,,,,,,,57.66197183,,15049.17,,1.568,20.2,24.9,89,23,7.3,169,13.3
7/15/2025 6:42,36.74478462,33.54553846,,,,,,,54.21538462,,15049.17,,1.568,20.2,24.9,89,23,7.3,169,13.3
7/15/2025 6:43,36.73781538,33.56169231,,,,,,,55.13846154,,15049.17,,1.568,20.2,24.9,89,23,7.3,169,13.3
7/15/2025 6:44,36.73175,33.57390625,,,,,,,55.578125,,15049.17,,1.568,20.2,24.9,89,23,7.3,169,13.3
7/15/2025 6:45,36.72347619,33.59095238,,,,,,,54.04761905,,15049.17,,1.568,20.2,24.9,89,23,7.3,169,13.3
7/15/2025 6:46,36.71238462,33.60261538,,,,,,,56.15384615,,15049.17,,1.568,20.2,24.9,89,23,7.3,169,13.3
7/15/2025 6:47,36.69234375,33.59984375,,,,,,,54.875,,15049.17,,1.568,20.2,24.9,89,23,7.3,169,13.3
7/15/2025 6:48,36.6711875,33.6090625,,,,,,,55.90625,,15049.17,,1.568,20.2,24.9,89,23,7.3,169,13.3
